age,background,experience,schedule,howlong,total_lift,gender_male,BMI,diet,experience_level
30.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1540.0,1,27.60135135135135,normal diet,Expert
36.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,1-2 years|,1014.0,1,25.370015593673426,no diet,Amateur
34.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1195.0,1,27.49511111111111,normal diet,Amateur
34.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1160.0,1,28.098892850440983,no diet,Expert
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,1-2 years|,1310.0,1,24.263513513513512,normal diet,Amateur
40.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1395.0,1,35.56139654830391,normal diet,Expert
45.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1210.0,1,26.62285586990421,no diet,Amateur
22.0,Recreational or educational sports,Beginner with coach,Other,2-4 years|,1246.0,1,24.117175317442637,normal diet,Professional
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1285.0,1,25.544843520268852,no diet,Professional
38.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1210.0,1,24.40514167761306,normal diet,Expert
22.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1550.0,1,28.342399691358025,normal diet,Professional
35.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|,1350.0,1,27.054552668121403,normal diet,Amateur
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1215.0,1,25.087770061728396,normal diet,Professional
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,2-4 years|,1045.0,1,25.085423875432525,strict diet,Professional
35.0,Recreational or educational sports,Beginner with coach,Single workout per day,4+ years|,1215.0,1,25.620444444444445,normal diet,Expert
42.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1215.0,1,25.83983069725997,normal diet,Professional
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1510.0,1,27.121913580246915,normal diet,Professional
29.0,Professional sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1202.0,1,25.6935553633218,normal diet,Professional
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1190.0,1,36.28234103558779,normal diet,Expert
39.0,Recreational or educational sports,Beginner with coach,Multiple workouts per day,2-4 years|,1356.0,1,28.342399691358025,normal diet,Professional
38.0,Recreational or educational sports,Beginner without coach,Single workout per day,4+ years|,970.0,1,23.77294685990338,normal diet,Expert
38.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1185.0,1,32.43870523415978,normal diet,Professional
33.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1315.0,1,27.799961419753085,normal diet,Expert
27.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1176.0,1,24.544336441182306,normal diet,Professional
37.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1430.0,1,29.41122448979592,normal diet,Professional
25.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1255.0,1,28.5885736956953,normal diet,Professional
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1100.0,1,33.08425160697888,normal diet,Expert
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1120.0,1,27.40588104254845,strict diet,Professional
40.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1342.0,1,26.31756756756757,normal diet,Expert
33.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1300.0,1,27.216216216216218,normal diet,Professional
25.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1390.0,1,26.62285586990421,normal diet,Expert
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1252.0,1,24.40514167761306,no diet,Expert
32.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,2-4 years|,1260.0,1,26.541836734693877,no diet,Professional
32.0,No or minimal sports,Beginner with coach,Single workout per day,4+ years|,1300.0,1,27.799961419753085,no diet,Expert
35.0,Recreational or educational sports,Beginner without coach,Single workout per day,4+ years|,810.0,1,22.955102040816328,normal diet,Expert
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1040.0,1,24.389795918367348,strict diet,Professional
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1200.0,1,29.646410034602077,normal diet,Expert
27.0,Recreational or educational sports,Beginner with coach,Multiple workouts per day,2-4 years|,1490.0,1,29.53374655647383,no diet,Professional
32.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1015.0,1,26.578449905482042,normal diet,Expert
31.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1465.0,1,27.759714345725687,strict diet,Expert
41.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1245.0,1,26.579475308641975,normal diet,Professional
32.0,No or minimal sports,Beginner with coach,Single workout per day,2-4 years|,1135.0,1,23.73167438271605,normal diet,Professional
20.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1370.0,1,29.85651974288338,no diet,Expert
38.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1060.0,1,25.107142857142858,normal diet,Expert
32.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1165.0,1,25.99852071005917,normal diet,Expert
37.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1019.0,1,20.613523473802275,no diet,Expert
37.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1220.0,1,30.10250865051903,normal diet,Amateur
20.0,Recreational or educational sports,Beginner without coach,Other,2-4 years|,1205.0,1,26.398367346938777,no diet,Professional
31.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1188.0,1,24.363579080025204,normal diet,Amateur
35.0,Professional sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1050.0,1,22.426346406455245,strict diet,Expert
34.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,1-2 years|,1310.0,1,29.834104938271604,normal diet,Amateur
29.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1145.0,1,25.824489795918367,no diet,Professional
30.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1336.0,1,26.06081081081081,normal diet,Expert
28.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1350.0,1,27.121913580246915,normal diet,Professional
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1530.0,1,28.5885736956953,normal diet,Professional
42.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1180.0,1,26.77563975401706,normal diet,Professional
29.0,Recreational or educational sports,Beginner without coach,Single workout per day,2-4 years|,1120.0,1,26.541836734693877,normal diet,Professional
23.0,Recreational or educational sports,Beginner without coach,Single workout per day,2-4 years|,875.0,1,25.799444554651856,normal diet,Professional
41.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,4+ years|,1260.0,1,26.31756756756757,normal diet,Expert
33.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1195.0,1,29.19031141868512,normal diet,Expert
30.0,No or minimal sports,Beginner without coach,Multiple workouts per day,4+ years|,1285.0,1,27.31674018063432,normal diet,Expert
30.0,Recreational or educational sports,Beginner with coach,Single workout per day,4+ years|,1374.0,1,26.496726839912714,no diet,Expert
35.0,Professional sports,Beginner without coach,Multiple workouts per day,1-2 years|,1290.0,1,25.41891891891892,normal diet,Amateur
19.0,Recreational or educational sports,Beginner with coach,Multiple workouts per day,2-4 years|,1365.0,1,27.435720844811755,normal diet,Professional
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1085.0,1,22.85135135135135,no diet,Expert
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1125.0,1,25.085423875432525,normal diet,Professional
29.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,1-2 years|,1000.0,1,22.496,strict diet,Amateur
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1430.0,1,25.681020408163267,normal diet,Professional
23.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|,1060.0,1,28.793320730938877,normal diet,Amateur
38.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,4+ years|,1300.0,1,25.675675675675677,normal diet,Expert
35.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1195.0,1,25.358989197530864,normal diet,Professional
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,1-2 years|,1326.0,1,23.672448979591838,strict diet,Amateur
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,4+ years|,1689.0,1,31.008191556395715,no diet,Expert
27.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1245.0,1,26.541836734693877,normal diet,Amateur
31.0,Recreational or educational sports,Beginner with coach,Multiple workouts per day,2-4 years|,1280.0,1,28.032301180663843,no diet,Professional
36.0,Recreational or educational sports,Beginner with coach,Multiple workouts per day,2-4 years|,900.0,1,26.578449905482042,normal diet,Professional
37.0,Professional sports,Beginner without coach,Other,2-4 years|,1206.0,1,23.672448979591838,normal diet,Professional
26.0,No or minimal sports,Beginner without coach,Single workout per day,2-4 years|,1363.0,1,25.250612244897958,strict diet,Professional
29.0,Professional sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|2-4 years|,1400.0,1,25.98781768536022,strict diet,Amateur
46.0,Recreational or educational sports,Beginner without coach,Single workout per day,4+ years|,1090.0,1,27.259183673469387,normal diet,Expert
25.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1460.0,1,26.301686851211073,strict diet,Professional
45.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1370.0,1,27.517949826989618,normal diet,Professional
47.0,Recreational or educational sports,Beginner with coach,Single workout per day,4+ years|,986.0,1,25.692501575299307,strict diet,Expert
30.0,Recreational or educational sports,Beginner without coach,Multiple workouts per day,1-2 years|,1245.0,1,27.799961419753085,normal diet,Amateur
32.0,No or minimal sports,Beginner with coach,Single workout per day,4+ years|,855.0,1,23.625288804872927,normal diet,Expert
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1150.0,1,26.62878787878788,no diet,Professional
29.0,Recreational or educational sports,Beginner with coach,Single workout per day,4+ years|,970.0,1,24.40514167761306,normal diet,Expert
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1211.0,1,27.5624860770773,normal diet,Professional
25.0,Recreational or educational sports,Beginner without coach,Single workout per day,1-2 years|,1535.0,1,27.464398235664778,normal diet,Amateur
27.0,Recreational or educational sports,Beginner without coach,Single workout per day,2-4 years|,1260.0,1,27.043535372490147,normal diet,Professional
28.0,Recreational or educational sports,Beginner without coach,Single workout per day,2-4 years|,1005.0,1,25.799444554651856,normal diet,Professional
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1315.0,1,26.49528888888889,normal diet,Professional
36.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1265.0,1,31.92690311418685,no diet,Amateur
30.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1555.0,1,28.404040404040405,normal diet,Professional
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1300.0,1,27.612056290695232,no diet,Professional
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1595.0,1,31.16673875432526,normal diet,Professional
37.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,1-2 years|2-4 years|,1295.0,1,29.124285714285715,normal diet,Amateur
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|4+ years|,925.0,1,22.591946042451895,normal diet,Professional
24.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1005.0,1,22.886998529720646,normal diet,Professional
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1225.0,1,27.66435185185185,no diet,Expert
27.0,No or minimal sports,Beginner with coach,Multiple workouts per day,1-2 years|,1470.0,1,26.578449905482042,normal diet,Amateur
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,1-2 years|,1240.0,1,31.32100690576966,no diet,Amateur
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,4+ years|,1490.0,1,28.12,normal diet,Expert
40.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1405.0,1,28.20679012345679,normal diet,Professional
39.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1120.0,1,25.824489795918367,normal diet,Amateur
38.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1180.0,1,26.496726839912714,normal diet,Expert
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1380.0,1,30.42763157894737,no diet,Professional
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,1-2 years|,1300.0,1,24.14130230812535,no diet,Amateur
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1345.0,1,32.5462962962963,normal diet,Expert
47.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,4+ years|,1195.0,1,27.194009125173576,normal diet,Expert
26.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1415.0,1,28.126081314878892,strict diet,Expert
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1348.0,1,25.901427469135804,no diet,Professional
36.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1175.0,1,27.799961419753085,normal diet,Amateur
30.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1230.0,1,26.383936948770877,strict diet,Expert
36.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,988.0,1,28.65872131877924,normal diet,Professional
35.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1270.0,1,27.31674018063432,normal diet,Professional
41.0,No or minimal sports,Beginner with coach,Single workout per day,2-4 years|4+ years|,1375.0,1,29.41122448979592,normal diet,Professional
31.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1385.0,1,28.613618827160494,normal diet,Amateur
33.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1505.0,1,28.83734693877551,strict diet,Professional
30.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|,1210.0,1,24.21592102499475,normal diet,Amateur
33.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1425.0,1,27.043535372490147,normal diet,Expert
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1535.0,1,27.40588104254845,normal diet,Expert
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1450.0,1,33.90239197530864,normal diet,Professional
34.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1058.0,1,23.078282828282827,normal diet,Amateur
40.0,Recreational or educational sports,Beginner with coach,Multiple workouts per day,2-4 years|,1100.0,1,26.44386574074074,strict diet,Professional
34.0,Recreational or educational sports,Beginner without coach,Multiple workouts per day,4+ years|,1368.0,1,26.28313379542113,normal diet,Expert
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1555.0,1,27.043535372490147,no diet,Expert
46.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1220.0,1,29.41122448979592,normal diet,Professional
32.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1540.0,1,25.107142857142858,no diet,Expert
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1300.0,1,25.84015963032976,normal diet,Professional
30.0,Recreational or educational sports,Beginner with coach,Other,2-4 years|,1113.0,1,26.850694444444443,normal diet,Professional
40.0,No or minimal sports,Beginner without coach,Multiple workouts per day,4+ years|,1142.0,1,26.31756756756757,strict diet,Expert
35.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1300.0,1,27.269559500328732,normal diet,Expert
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1224.0,1,27.245155555555556,normal diet,Professional
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1490.0,1,29.236294896030245,no diet,Professional
42.0,Recreational or educational sports,Beginner with coach,Other,1-2 years|,925.0,1,24.80655324511657,no diet,Amateur
30.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1364.0,1,26.757785467128027,strict diet,Expert
35.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1470.0,1,28.20679012345679,normal diet,Professional
30.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,4+ years|,1135.0,1,27.80419921875,normal diet,Expert
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|2-4 years|,1445.0,1,25.087770061728396,normal diet,Amateur
38.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1175.0,1,23.48170388440608,normal diet,Expert
42.0,No or minimal sports,Beginner with coach,Single workout per day,2-4 years|,1320.0,1,37.5971101519985,normal diet,Professional
22.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1345.0,1,25.102162269390995,strict diet,Professional
35.0,No or minimal sports,Beginner without coach,Multiple workouts per day,2-4 years|,1401.0,1,26.911615687746295,strict diet,Professional
33.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1531.0,1,27.799961419753085,normal diet,Expert
38.0,No or minimal sports,Beginner with coach,Other,2-4 years|,1360.0,1,29.527027027027028,normal diet,Professional
38.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1040.0,1,26.167763157894736,normal diet,Professional
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1465.0,1,32.953125,no diet,Expert
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1504.0,1,27.59710743801653,normal diet,Professional
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1262.0,1,25.101869355177485,normal diet,Professional
25.0,Recreational or educational sports,Beginner without coach,Single workout per day,2-4 years|,870.0,1,22.886998529720646,normal diet,Professional
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1125.0,1,24.404879984130133,normal diet,Expert
